,Reference No.,Salary,Role Type,Band Type,Term,Hours,Location,Description
0,1516855.0,"52,969 - 62,239",Grade 7,Permanent,Home Office - Finance &amp; Corporate Services - Live Services,,"<a href=""http://www.civilservice.gov.uk/pensions/"" rel=""external"" target=""_blank""> Civil Service pension schemes</a> may be available for successful candidates.","Successful candidates with exceptional skills &amp; experience may be paid at the top end of the salary scale and may also receive a Recruitment &amp; Retention Allowance of up to £11,300. This allowance is dependent on skills and experience which will be assessed against the Recruitment &amp; Retention Allowance criteria at interview. This allowance is subject to annual review in line with departmental priorities and could be reduced or withdrawn at any time.
<br/> <br/>The Configuration Assistant is required to hold the ITIL V3 Foundation Certificate, or be willing to pass the qualification within 12 months of taking up post.
<br/>"
5,1510994.0,"From 49,500 to 62,023",Other,Permanent,Digital Services - Development,,"<a href=""http://www.civilservice.gov.uk/pensions/"" rel=""external"" target=""_blank""> Civil Service pension schemes</a> may be available for successful candidates.",Excellent learning and development opportunities 
<br/>Generous annual leave 
<br/>Contributory pension scheme
6,1511630.0,"49,500 to 62,023",Other,A2,Permanent,,"Lead Back-end Developer (Ruby)
<br/>Parliamentary Digital Service
<br/>From £49,500 to £62,023 
<br/> <br/>What we're looking for:
<br/>An experienced Ruby developer to join our growing Development team. You will join a team of front and back-end developers and web operations engineers that will total 12 by the end of 2016.
<br/> <br/>The role:
<br/>You'll be working on a new website for Parliament that intends to make the UK Parliament a leader in digital democracy. 
<br/>The new website will be data driven, have user needs at its heart, be developed incrementally and in the open. The new website will create an information space that will increase engagement, drive understanding and support transactions with Parliament.
<br/>You'll work in a friendly and creative agile environment, within multi-disciplinary product teams, spending 100% of your working time developing software for new services.
<br/>Youll provide technical guidance and support for your colleagues and help the team grow and develop.
<br/>You'll be working collaboratively with Product Managers, Delivery Managers, User Researchers, Designers, Front-end Developers, Data and Technical Architects, Testers and Web Operations Engineers as well our Data and Search platform team.
<br/> <br/>Who you are:
<br/>You're an experienced developer who's used to working on multiple products and services simultaneously.
<br/>You're used to working autonomously, and working collaboratively with technical and non-technical teams across a large organisation.
<br/>Youre a great communicator that can provide guidance through example as well as in person.
<br/> <br/>What you'll need:
<br/>	Ruby
<br/>	Rails
<br/>	Agile methodologies
<br/>	Git
<br/>	REST and web services
<br/> <br/>What you may have:
<br/>	AWS
<br/>	CI/CD
<br/> <br/>What we offer:
<br/>	starting salary of between £49,500 and £61,868 (depending on experience)
<br/>	28 days holiday
<br/>	flexible working
<br/>	access to training and development
<br/>	excellent pension scheme
<br/>	Pluralsight license 
<br/>","<a href=""http://www.civilservice.gov.uk/pensions/"" rel=""external"" target=""_blank""> Civil Service pension schemes</a> may be available for successful candidates."
7,1519685.0,"From 36,500 to 42,932",Other,Permanent,Digital Services,,"<a href=""http://www.civilservice.gov.uk/pensions/"" rel=""external"" target=""_blank""> Civil Service pension schemes</a> may be available for successful candidates.",Excellent learning and development opportunities 
<br/>Generous annual leave 
<br/>Contributory pension scheme
